system:index,country,country_code,deaths,displaced_people,event_id,gfd_country_name,glide_index,latitude,longitude,main_cause,other_country,primary_country,severity,validation_type,.geo
DFO_3553_From_20091004_to_20091012,"China, India, Pakistan, Nepal, Bangladesh, Bhutan","['BG', 'IN', 'CH', 'BT', 'UU', 'PK', 'NP']",45.0,0.0,3553.0,"['BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'PAKISTAN', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",FL-2009-000219-NPL,29.81192,80.763928,Heavy Rain,NA,Nepal,2.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3633_From_20100327_to_20100407,"India, Bangladesh","['BG', 'IN']",104.0,0.0,3633.0,"['BANGLADESH', 'INDIA']",FL-2010-000070-BGD,22.152795,89.509928,Heavy Rain,NA,Bangladesh,1.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3636_From_20100418_to_20100421,"China, India, Bangladesh, Bhutan","['BG', 'IN', 'CH', 'BT', 'UU', 'NP']",0.0,300.0,3636.0,"['BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",NA,26.316584,91.862265,Heavy Rain,NA,India,2.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3650_From_20100515_to_20100626,"China, India, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",0.0,10000.0,3650.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",NA,26.638053,93.122627,Monsoonal Rain,NA,India,1.5,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3652_From_20100518_to_20100524,India,['IN'],27.0,50000.0,3652.0,['INDIA'],TC-2010-000097-IND,15.21825,79.484382,Heavy rain,NA,India,1.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3658_From_20100606_to_20100607,"India, Pakistan","['IN', 'PK']",23.0,4000.0,3658.0,"['INDIA', 'PAKISTAN']",TC-2010-000108-PAK,25.117454,67.905172,Tropical Cyclone Phet,,Pakistan,1.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3662_From_20100615_to_20100626,"India, Myanmar (Burma), Bangladesh","['BM', 'BG', 'IN', 'CH']",60.0,0.0,3662.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA']",FL-2010-000115-MMR,22.280362,94.010494,Monsoonal Rain,,Myanmar,1.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3674_From_20100705_to_20100715,"China, India, Pakistan, Nepal, Bangladesh","['BG', 'IN', 'CH', 'PK', 'UU', 'NP']",98.0,523000.0,3674.0,"['BANGLADESH', 'INDIA', 'CHINA', 'PAKISTAN', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",FL-2010-000125-IND,30.18952,74.778484,Monsoonal Rain,,India,1.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3679_From_20100701_to_20100713,"China, India, Myanmar (Burma), Nepal, Bangladesh","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",0.0,600000.0,3679.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,23.994863,90.035505,Monsoonal Rain,NA,Bangladesh,1.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3696_From_20100727_to_20101115,"China, India, Pakistan, Afghanistan, Nepal","['IN', 'CH', 'AF', 'PK', 'UU', 'NP']",1750.0,1.0E7,3696.0,"['INDIA', 'CHINA', 'AFGHANISTAN', 'PAKISTAN', 'In dispute CHINA/INDIA', 'NEPAL']",FL-2010-000141-PAK,33.363388,73.257885,Monsoonal Rain,NA,Pakistan,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3713_From_20100905_to_20100917,"China, India, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",1.0,30000.0,3713.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",NA,26.234999,92.250001,Torrential Rains,NA,Inda,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3716_From_20100909_to_20100930,"China, India, Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",0.0,140000.0,3716.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,25.424999,89.640001,Monsoon Rains,NA,Bangladesh,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3717_From_20100918_to_20100930,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'NP']",88.0,15000.0,3717.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,26.729999,82.845001,Monsoon Rains,NA,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3732_From_20101001_to_20101012,"China, India, Myanmar (Burma), Nepal, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",15.0,500000.0,3732.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",NA,24.209999,91.035001,Heavy Rain and Storm Surge,NA,Bangladesh,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3843_From_20110721_to_20110729,"India, Bangladesh","['BG', 'IN']",6.0,10000.0,3843.0,"['BANGLADESH', 'INDIA']",,22.564135,89.046349,Monsoonal Rain,,Bangladesh,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3854_From_20110815_to_20111002,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'NP']",158.0,70000.0,3854.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",,26.375467,86.242215,Monsoonal Rain,Nepal,India,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3856_From_20110815_to_20110908,"China, India, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",7.0,11000.0,3856.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",,26.589671,92.181547,Monsoonal Rain,,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3857_From_20110812_to_20111101,"India, Pakistan","['IN', 'PK']",434.0,660000.0,3857.0,"['INDIA', 'PAKISTAN']",,25.012345,69.066891,Monsoonal Rain,,Pakistan,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3864_From_20110825_to_20110913,India,['IN'],0.0,5000.0,3864.0,['INDIA'],,22.30208,73.953105,Monsoonal Rain,,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3866_From_20110905_to_20111002,"India, Bangladesh","['BG', 'IN']",40.0,15000.0,3866.0,"['BANGLADESH', 'INDIA']",,20.651119,86.002162,Monsoonal Rain,,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3960_From_20120803_to_20120806,India,['IN'],0.0,2000.0,3960.0,['INDIA'],,19.439848,82.321565,Monsoonal Rain,,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
