event_id,start_date,end_date,latitude,longitude,severity,deaths,displaced_people,main_cause,primary_country,validation_type
4171.0,2014-08-11,2014-09-08,27.385201,79.758579,1.5,31.0,4000.0,Monsoonal Rain,India,News
4174.0,2014-08-14,2014-09-08,26.179465,86.253746,1.5,0.0,10000.0,Monsoonal Rain,India,News
4176.0,2014-08-15,2014-09-08,27.613202,94.654164,1.0,1.0,75000.0,Monsoonal Rain,India,News
4178.0,2014-08-20,2014-09-08,24.566128,90.633346,1.5,17.0,500000.0,Monsoonal Rain,Bangladesh,News
4179.0,2014-09-01,2014-10-11,33.944858,75.341864,2.0,300.0,30000.0,Monoonal Rain,Pakistan,News
4188.0,2014-09-24,2014-10-11,26.746527,92.489108,1.5,59.0,30000.0,Monsoonal rain,India,News
4198.0,2014-10-12,2014-10-27,18.447297,79.69672,1.5,42.0,0.0,Tropical Storm Hudhug,India,News
4239.0,2015-03-20,2015-03-31,33.17674,76.405834,1.5,44.0,2907.0,Heavy Rain,India,News
4251.0,2015-05-17,2015-05-21,10.712137,79.177106,1.0,8.0,200.0,Torrential Rain,India,News
4259.0,2015-06-02,2015-06-29,26.919545,93.874744,1.5,3.0,9000.0,Monsoonal Rain,India,News
4265.0,2015-06-24,2015-06-29,21.873364,70.764317,1.5,81.0,9000.0,Monsoonal Rain,India,News
4272.0,2015-07-15,2015-08-19,34.343166,72.27367,1.5,166.0,803000.0,Monsoonal Rain,Pakistan,News
4282.0,2015-07-15,2015-08-19,26.20738,82.616452,2.0,206.0,300000.0,Monsoonal Rain and Tropical Storm K,India,News
4283.0,2015-07-15,2015-08-19,20.174691,95.532558,2.0,88.0,85400.0,Monsoonal Rain,Myanmar,News
4288.0,2015-08-13,2015-09-11,26.894603,93.751026,1.0,5.0,18000.0,Monsoonal Rain,India,News
4309.0,2015-11-10,2015-12-04,11.827777,78.855441,2.0,180.0,400000.0,Tropical Storm Rovan,India,News
4339.0,2016-03-12,2016-04-13,33.054515,71.7788,1.5,121.0,2400.0,Heavy Rain,Pakistan,News
4355.0,2016-04-20,2016-05-01,27.463976,95.606788,1.5,18.0,3000.0,Heavy Rain,India,Flood List
4365.0,2016-06-01,2016-08-16,18.315771,95.260379,2.0,16.0,25000.0,Monsoonal Rain,Myanmar,News
4378.0,2016-07-07,2016-08-03,22.810744,80.83492,1.5,20.0,15000.0,Monsoonal Rain,India,News
4382.0,2016-07-25,2016-08-26,24.095044,90.039502,1.5,42.0,25000.0,Monsoonal Rain,Bangladesh,News
4390.0,2016-08-15,2016-08-26,26.347448,96.868707,1.0,0.0,0.0,Monsoonal Rain,Thailand,News
4459.0,2017-03-30,2017-04-18,24.317835,90.682833,1.0,0.0,0.0,Heavy Rain,Bangladesh,News
4483.0,2017-06-02,2017-07-03,27.613121,94.938714,1.0,6.0,113.0,Monsoonal Rain,India,News
4499.0,2017-07-27,2017-08-10,22.906125,88.084765,1.0,39.0,47000.0,Monsoonal Rain,India,News
4507.0,2017-08-10,2017-08-26,28.16566,79.076049,2.0,253.0,422106.0,Monsoonal Rain,India,News
4508.0,2017-08-10,2017-08-26,24.591169,90.014758,1.5,117.0,300000.0,Monsoonal Rain,Bangladesh,News
